Index,Segment,Date,Time,TimeZone,State1,State2,State3,Fujita,Fatalities,Injuries,Width,Length,County1,County2,County3,County4,County5,County6,County7,County8,County9,County10,County11,County12,Damage,CropLoss,TouchdownLat,TouchdownLon,LiftoffLat,LiftoffLon,NumberOfStates,StateTor,TorNum,RecordStatus
19650411.40.19,Summary,4/11/65,3:30:00,CST,Oklahoma,-,-,2,0,0,10,0,Muskogee,-,-,-,-,-,-,-,-,-,-,-,$500-$5000,,35.58,-95.35,-,-,1,19,130,Unmodified
19650411.19.1,Summary,4/11/65,12:55:00,CST,Iowa,-,-,4,1,3,200,91,Cedar,Clinton,Jackson,-,-,-,-,-,-,-,-,-,$500K-$5M,,41.85,-90.93,43.17,-90.47,1,1,131,Unmodified
19650411.19.2,Summary,4/11/65,13:15:00,CST,Iowa,-,-,1,0,0,300,49,Chickasaw,Fayette,Allamakee,-,-,-,-,-,-,-,-,-,$50K-$500K,,42.93,-92.2,43.28,-91.33,1,2,132,Unmodified
19650411.55.1,Summary,4/11/65,14:00:00,CST,Wisconsin,-,-,1,0,40,167,27,Green,Rock,Dane,-,-,-,-,-,-,-,-,-,$500K-$5M,,42.5,-89.8,42.73,-89.37,1,1,133,Unmodified
19650411.55.2,Summary,4/11/65,14:30:00,CST,Wisconsin,-,-,2,3,28,1320,14,Jefferson,-,-,-,-,-,-,-,-,-,-,-,$500K-$5M,,43.03,-88.88,43.2,-88.7,1,2,134,Unmodified
19650411.55.3,Summary,4/11/65,14:45:00,CST,Wisconsin,-,-,1,0,0,10,13,Crawford,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,43.3,-90.9,43.4,-90.67,1,3,135,Unmodified
19650411.17.2,Summary,4/11/65,15:20:00,CST,Illinois,-,-,4,6,75,400,9,McHenry,Lake,-,-,-,-,-,-,-,-,-,-,-,,42.22,-88.38,42.28,-88.18,1,2,136,Unmodified
19650411.17.3,Summary,4/11/65,15:50:00,CST,Illinois,-,-,2,0,0,200,4,Lake,-,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,42.38,-88.02,42.37,-87.92,1,3,137,Unmodified
19650411.55.4,Summary,4/11/65,15:50:00,CST,Wisconsin,-,-,1,0,0,50,1,Walworth,-,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,42.57,-88.55,42.6,-88.5,1,4,138,Unmodified
19650411.55.5,Summary,4/11/65,15:55:00,CST,Wisconsin,-,-,1,0,0,10,1,Walworth,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,42.72,-88.7,-,-,1,5,139,Unmodified
19650411.17.4,Summary,4/11/65,16:00:00,CST,Illinois,-,-,1,0,0,150,0,Kane,-,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,41.88,-88.3,-,-,1,4,140,Unmodified
19650411.17.5,Summary,4/11/65,16:04:00,CST,Illinois,-,-,1,0,0,250,0,Lake,-,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,42.43,-87.83,-,-,1,5,141,Unmodified
19650411.55.6,Summary,4/11/65,16:14:00,CST,Wisconsin,-,-,1,0,0,50,2,Monroe,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,43.97,-90.58,-,-,1,6,142,Unmodified
19650411.18.7,Summary,4/11/65,16:45:00,CST,Indiana,-,-,3,10,82,250,35,Starke,Marshall,St. Joseph,Elkhart,-,-,-,-,-,-,-,-,$5M-$50M,,41.35,-86.58,41.63,-85.97,1,7,143,Unmodified
19650411.26.1,Summary,4/11/65,16:54:00,CST,Michigan,-,-,4,5,142,300,20,Ottawa,Kent,-,-,-,-,-,-,-,-,-,-,$500K-$5M,,43.02,-85.92,43.2,-85.45,1,1,144,Unmodified
19650411.18.8,Summary,4/11/65,17:10:00,CST,Indiana,-,-,3,0,0,10,33,Porter,LaPorte,-,-,-,-,-,-,-,-,-,-,$5M-$50M,,41.35,-87.2,41.5,-86.58,1,8,145,Unmodified
19650411.18.9,Summary,4/11/65,17:15:00,CST,Indiana,-,-,4,31,252,10,21,Elkhart,-,-,-,-,-,-,-,-,-,-,-,-,,41.52,-86.07,41.7,-85.73,1,9,146,Unmodified
19650411.18.10,Summary,4/11/65,17:40:00,CST,Indiana,-,-,4,5,41,177,21,Elkhart,LaGrange,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,41.62,-85.7,41.73,-85.27,1,10,147,Unmodified
19650411.18.11,Summary,4/11/65,18:00:00,CST,Indiana,Michigan,-,4,23,294,1760,90,Steuben,Branch,Hillsdale,Lenawee,Monroe,-,-,-,-,-,-,-,$50M-$500M,,41.73,-85.17,42.08,-83.47,2,11,148,Unmodified
19650411.18.11,State,4/11/65,18:00:00,CST,Indiana,,,4,0,0,1760,3,Steuben,-,-,-,-,-,-,-,-,-,-,-,-,,41.73,-85.17,41.75,-85.08,2,11,148,Unmodified
19650411.18.11,State,4/11/65,18:03:00,CST,Michigan,,,4,23,294,1760,86,Branch,Hillsdale,Lenawee,Monroe,-,-,-,-,-,-,-,-,$50M-$500M,,41.75,-85.08,42.08,-83.47,2,2,148,Unmodified
19650411.26.3,Summary,4/11/65,18:05:00,CST,Michigan,-,-,1,1,9,200,19,Allegan,Barry,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,42.72,-85.83,42.72,-85.43,1,3,149,Unmodified
19650411.18.12,Summary,4/11/65,18:07:00,CST,Indiana,-,-,4,0,44,500,21,Tippecanoe,Clinton,-,-,-,-,-,-,-,-,-,-,-,,40.33,-86.83,40.42,-86.4,1,12,150,Unmodified
19650411.18.13,Summary,4/11/65,18:10:00,CST,Indiana,-,-,4,36,321,333,37,St. Joseph,Elkhart,LaGrange,-,-,-,-,-,-,-,-,-,-,,41.58,-86.2,41.75,-85.5,1,13,151,Unmodified
19650411.18.14,Summary,4/11/65,18:20:00,CST,Indiana,-,-,4,25,835,880,48,Clinton,Howard,Grant,-,-,-,-,-,-,-,-,-,$50M-$500M,,40.4,-86.38,40.52,-85.47,1,14,152,Unmodified
19650411.26.4,Summary,4/11/65,18:30:00,CST,Michigan,-,-,3,0,17,150,14,Kalamazoo,-,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,42.37,-85.6,42.37,-85.32,1,4,153,Unmodified
19650411.26.5,Summary,4/11/65,18:40:00,CST,Michigan,-,-,3,0,5,10,14,Barry,-,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,42.65,-85.3,42.77,-85.07,1,5,154,Unmodified
19650411.26.6,Summary,4/11/65,18:40:00,CST,Michigan,-,-,4,21,293,10,80,Branch,Hillsdale,Lenawee,Monroe,-,-,-,-,-,-,-,-,-,,41.8,-85,42.08,-83.47,1,6,155,Unmodified
19650411.18.15,Summary,4/11/65,18:50:00,CST,Indiana,-,-,4,28,123,1667,45,Montgomery,Boone,Hamilton,-,-,-,-,-,-,-,-,-,$5M-$50M,,40.02,-86.87,40.17,-86.02,1,15,156,Unmodified
19650411.18.16,Summary,4/11/65,19:10:00,CST,Indiana,Ohio,-,4,4,125,10,52,Blackford,Wells,Adams,Mercer,Van Wert,-,-,-,-,-,-,-,$5M-$50M,,40.55,-85.38,40.77,-84.38,2,16,157,Unmodified
19650411.18.16,State,4/11/65,19:10:00,CST,Indiana,,,4,2,97,10,30,Blackford,Wells,Adams,-,-,-,-,-,-,-,-,-,$5M-$50M,,40.55,-85.38,40.7,-84.8,2,16,157,Unmodified
19650411.18.16,State,4/11/65,20:15:00,CST,Ohio,,,4,2,28,10,21,Mercer,Van Wert,-,-,-,-,-,-,-,-,-,-,$500K-$5M,,40.7,-84.8,40.77,-84.38,2,5,157,Unmodified
19650411.26.7,Summary,4/11/65,19:15:00,CST,Michigan,-,-,4,1,8,100,21,Clinton,Shiawassee,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,42.85,-84.65,42.93,-84.23,1,7,158,Unmodified
19650411.26.8,Summary,4/11/65,19:25:00,CST,Michigan,-,-,2,0,1,440,15,Montcalm,Gratiot,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,43.25,-84.93,43.38,-84.67,1,8,159,Unmodified
19650411.26.9,Summary,4/11/65,19:30:00,CST,Michigan,-,-,2,0,0,50,0,Gratiot,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,43.38,-84.62,-,-,1,9,160,Unmodified
19650411.26.10,Summary,4/11/65,19:30:00,CST,Michigan,-,-,2,0,0,50,0,Gratiot,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,43.38,-84.62,-,-,1,10,161,Unmodified
19650411.26.11,Summary,4/11/65,19:30:00,CST,Michigan,-,-,2,0,0,50,1,Gratiot,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,43.37,-84.6,-,-,1,11,162,Unmodified
19650411.26.12,Summary,4/11/65,19:50:00,CST,Michigan,-,-,2,0,2,10,9,Bay,-,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,43.55,-83.87,43.62,-83.68,1,12,163,Unmodified
19650411.26.13,Summary,4/11/65,20:00:00,CST,Michigan,-,-,2,0,0,10,9,Tuscola,-,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,43.57,-83.63,43.65,-83.48,1,13,164,Unmodified
19650411.39.7,Summary,4/11/65,20:30:00,CST,Ohio,Michigan,-,4,18,236,200,5,Monroe,Lucas,-,-,-,-,-,-,-,-,-,-,$5M-$50M,,41.67,-83.6,41.73,-83.47,2,7,165,Unmodified
19650411.39.7,State,4/11/65,20:30:00,CST,Ohio,,,4,16,207,200,5,Lucas,-,-,-,-,-,-,-,-,-,-,-,$5M-$50M,,41.67,-83.6,41.72,-83.5,2,7,165,Unmodified
19650411.39.7,State,4/11/65,20:35:00,CST,Michigan,,,4,2,29,200,0,Monroe,-,-,-,-,-,-,-,-,-,-,-,$500K-$5M,,41.72,-83.5,41.73,-83.47,2,14,165,Unmodified
19650411.39.6,Summary,4/11/65,20:30:00,CST,Ohio,-,-,4,13,104,400,32,Allen,Hancock,-,-,-,-,-,-,-,-,-,-,$500K-$5M,,40.8,-84.2,40.95,-83.6,1,6,166,Unmodified
