Index,Segment,Date,Time,TimeZone,State1,State2,State3,Fujita,Fatalities,Injuries,Width,Length,County1,County2,County3,County4,County5,County6,County7,County8,County9,County10,County11,County12,Damage,CropLoss,TouchdownLat,TouchdownLon,LiftoffLat,LiftoffLon,NumberOfStates,StateTor,TorNum,RecordStatus
19740403.37.3,Summary,4/3/74,7:00:00,CST,North Carolina,-,-,1,0,0,10,6,Burke,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,35.75,-81.7,35.78,-81.58,1,3,107,Unmodified
19740403.18.3,Summary,4/3/74,8:30:00,CST,Indiana,-,-,2,0,0,50,0,Boone,-,-,-,-,-,-,-,-,-,-,-,-,,40.03,-86.3,-,-,1,3,108,Unmodified
19740403.13.11,Summary,4/3/74,12:00:00,CST,Georgia,-,-,2,0,5,200,15,Gilmer,Fannin,-,-,-,-,-,-,-,-,-,-,$500K-$5M,,34.68,-84.5,34.85,-84.32,1,11,109,Unmodified
19740403.17.5,Summary,4/3/74,12:10:00,CST,Illinois,-,-,0,0,0,10,0,Grundy,-,-,-,-,-,-,-,-,-,-,-,-,,41.37,-88.42,-,-,1,5,110,Unmodified
19740403.47.5,Summary,4/3/74,13:05:00,CST,Tennessee,-,-,3,1,100,350,18,Bradley,Polk,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,35.1,-84.92,35.25,-84.67,1,5,111,Unmodified
19740403.17.6,Summary,4/3/74,13:07:00,CST,Illinois,-,-,0,0,0,10,0,McLean,-,-,-,-,-,-,-,-,-,-,-,-,,40.58,-89.03,-,-,1,6,112,Unmodified
19740403.17.7,Summary,4/3/74,13:08:00,CST,Illinois,-,-,1,0,0,177,16,Logan,McLean,-,-,-,-,-,-,-,-,-,-,$500K-$5M,,40.12,-89.33,40.33,-89.18,1,7,113,Unmodified
19740403.18.4,Summary,4/3/74,13:15:00,CST,Indiana,-,-,1,0,0,177,14,Orange,Lawrence,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,38.62,-86.58,38.73,-86.37,1,4,114,Unmodified
19740403.18.5,Summary,4/3/74,13:20:00,CST,Indiana,-,-,5,6,86,10,68,Perry,Crawford,Harrison,Washington,Scott,-,-,-,-,-,-,-,$50M-$500M,,38.07,-86.75,38.63,-85.7,1,5,115,Unmodified
19740403.39.3,Summary,4/3/74,13:30:00,CST,Ohio,-,-,5,36,1150,533,31,Greene,Clark,-,-,-,-,-,-,-,-,-,-,$50M-$500M,,39.63,-84.05,39.92,-83.6,1,3,116,Unmodified
19740403.18.6,Summary,4/3/74,13:30:00,CST,Indiana,-,-,3,1,26,177,35,Lawrence,Jackson,Bartholomew,Jennings,-,-,-,-,-,-,-,-,$5M-$50M,,38.77,-86.3,39.12,-85.77,1,6,117,Unmodified
19740403.17.8,Summary,4/3/74,13:30:00,CST,Illinois,-,-,3,1,26,350,20,Macon,-,-,-,-,-,-,-,-,-,-,-,$500K-$5M,,39.72,-89.13,39.95,-88.88,1,8,118,Unmodified
19740403.17.9,Summary,4/3/74,13:30:00,CST,Illinois,-,-,3,0,0,350,7,McLean,-,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,40.52,-88.62,40.57,-88.48,1,9,119,Unmodified
19740403.18.7,Summary,4/3/74,13:45:00,CST,Indiana,-,-,3,1,25,440,20,Shelby,Hancock,-,-,-,-,-,-,-,-,-,-,$5M-$50M,,39.58,-85.87,39.85,-85.67,1,7,120,Unmodified
19740403.17.10,Summary,4/3/74,13:45:00,CST,Illinois,-,-,1,0,0,70,8,Christian,-,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,39.47,-89.2,39.57,-89.1,1,10,121,Unmodified
19740403.47.6,Summary,4/3/74,14:00:00,CST,Tennessee,-,-,2,0,2,50,0,Blount,-,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,35.78,-83.92,-,-,1,6,122,Unmodified
19740403.18.8,Summary,4/3/74,14:00:00,CST,Indiana,-,-,4,0,17,10,18,Hancock,Rush,Henry,-,-,-,-,-,-,-,-,-,$5M-$50M,,39.75,-85.65,39.98,-85.45,1,8,123,Unmodified
19740403.18.9,Summary,4/3/74,14:01:00,CST,Indiana,-,-,4,4,17,1200,35,Bartholomew,Decatur,Franklin,-,-,-,-,-,-,-,-,-,$5M-$50M,,39.13,-85.72,39.47,-85.18,1,9,124,Unmodified
19740403.17.11,Summary,4/3/74,14:10:00,CST,Illinois,-,-,1,0,0,20,10,Piatt,Champaign,-,-,-,-,-,-,-,-,-,-,$500-$5000,,40.22,-88.6,40.32,-88.43,1,11,125,Unmodified
19740403.18.10,Summary,4/3/74,14:19:00,CST,Indiana,-,-,4,11,190,1200,35,Clark,Scott,Jefferson,Ripley,-,-,-,-,-,-,-,-,$50M-$500M,,38.55,-85.75,38.93,-85.25,1,10,126,Unmodified
19740403.21.6,Summary,4/3/74,14:20:00,CST,Kentucky,Indiana,-,5,31,270,440,32,Harrison,Breckinridge,Meade,-,-,-,-,-,-,-,-,-,$500K-$5M,,37.73,-86.53,38.05,-86.1,2,6,127,Unmodified
19740403.21.6,State,4/3/74,14:20:00,CST,Kentucky,,,5,31,270,440,27,Breckinridge,Meade,-,-,-,-,-,-,-,-,-,-,$500K-$5M,,37.73,-86.53,38,-86.17,2,6,127,Unmodified
19740403.21.6,State,4/3/74,15:10:00,CST,Indiana,,,5,0,0,440,4,Harrison,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,38,-86.17,38.05,-86.1,2,13,127,Unmodified
19740403.17.12,Summary,4/3/74,14:25:00,CST,Illinois,-,-,0,0,0,20,3,Piatt,-,-,-,-,-,-,-,-,-,-,-,$500-$5000,,39.8,-88.57,39.85,-88.53,1,12,129,Unmodified
19740403.47.7,Summary,4/3/74,14:30:00,CST,Tennessee,-,-,1,1,32,27,3,McMinn,-,-,-,-,-,-,-,-,-,-,-,$500-$5000,,35.33,-84.57,35.33,-84.5,1,7,128,Unmodified
