Index,Segment,Date,Time,TimeZone,State1,State2,State3,Fujita,Fatalities,Injuries,Width,Length,County1,County2,County3,County4,County5,County6,County7,County8,County9,County10,County11,County12,Damage,CropLoss,TouchdownLat,TouchdownLon,LiftoffLat,LiftoffLon,NumberOfStates,StateTor,TorNum,RecordStatus
20080205.5.85,Summary,2/5/08,15:26:00,3,Arkansas,-,-,1,0,0,50,0.62,Ashley,-,-,-,-,-,-,-,-,-,-,-,"$40,000 ",,33.21,-91.8,33.21,-91.79,1,0,85,Unmodified
20080205.5.86,Summary,2/5/08,16:04:00,3,Arkansas,-,-,0,0,0,50,1.1,Chicot,-,-,-,-,-,-,-,-,-,-,-,-,,33.48,-91.45,33.49,-91.43,1,0,86,Unmodified
20080205.5.87,Summary,2/5/08,16:27:00,3,Arkansas,-,-,0,0,0,25,0.16,Phillips,-,-,-,-,-,-,-,-,-,-,-,-,,34.46,-90.71,34.46,-90.71,1,0,87,Unmodified
20080205.28.88,Summary,2/5/08,16:45:00,3,Mississippi,-,-,0,0,0,50,3.43,Bolivar,-,-,-,-,-,-,-,-,-,-,-,"$70,000 ",,33.83,-90.97,33.86,-90.93,1,0,88,Unmodified
20080205.5.89,Summary,2/5/08,16:49:00,3,Arkansas,-,-,4,13,139,1320,121.84,Yell,Pope,Yell,Pope,Conway,Van Buren,Stone,Izard,Sharp,-,-,-,"$119,310,000 ",,35.1,-93.07,36.29,-91.47,1,0,89,Unmodified
20080205.48.90,Summary,2/5/08,16:50:00,3,Texas,-,-,1,0,0,300,1,Smith,-,-,-,-,-,-,-,-,-,-,-,"$30,000 ",,32.24,-95.06,32.26,-95.06,1,0,90,Unmodified
20080205.47.91,Summary,2/5/08,17:00:00,3,Tennessee,-,-,2,0,1,150,8.09,Shelby,Tipton,-,-,-,-,-,-,-,-,-,-,"$1,005,000 ",,35.31,-89.76,35.4,-89.66,1,0,91,Unmodified
20080205.5.92,Summary,2/5/08,17:02:00,3,Arkansas,-,-,2,1,36,880,12.5,Marion,Baxter,-,-,-,-,-,-,-,-,-,-,"$17,500,000 ",,36.21,-92.62,36.32,-92.45,1,0,92,Unmodified
20080205.47.93,Summary,2/5/08,17:18:00,3,Tennessee,-,-,0,0,0,50,0.17,Tipton,-,-,-,-,-,-,-,-,-,-,-,"$7,000 ",,35.47,-89.59,35.47,-89.58,1,0,93,Unmodified
20080205.28.94,Summary,2/5/08,17:18:00,3,Mississippi,-,-,0,0,0,100,2.64,DeSoto,-,-,-,-,-,-,-,-,-,-,-,"$50,000 ",,34.95,-90.22,34.97,-90.19,1,0,94,Unmodified
20080205.47.95,Summary,2/5/08,17:23:00,3,Tennessee,-,-,1,0,0,50,0.73,Tipton,-,-,-,-,-,-,-,-,-,-,-,"$75,000 ",,35.5,-89.55,35.5,-89.54,1,0,95,Unmodified
20080205.5.96,Summary,2/5/08,17:31:00,3,Arkansas,-,-,0,0,0,30,0.6,Yell,-,-,-,-,-,-,-,-,-,-,-,-,,35.03,-93.11,35.04,-93.11,1,0,96,Unmodified
20080205.47.97,Summary,2/5/08,17:32:00,3,Tennessee,-,-,1,0,0,50,0.29,Tipton,-,-,-,-,-,-,-,-,-,-,-,"$50,000 ",,35.58,-89.52,35.58,-89.52,1,0,97,Unmodified
20080205.28.98,Summary,2/5/08,17:32:00,3,Mississippi,Tennessee,-,2,3,13,440,10.24,DeSoto,Shelby,-,-,-,-,-,-,-,-,-,-,"$128,400,000 ",,34.98,-90.01,35.05,-89.85,2,0,98,Unmodified
20080205.28.98,State,2/5/08,17:32:00,3,Mississippi,,,2,0,0,440,1.81,DeSoto,-,-,-,-,-,-,-,-,-,-,-,"$28,400,000 ",,34.98,-90.01,34.99,-89.99,2,0,98,Unmodified
20080205.28.98,State,2/5/08,17:34:00,3,Tennessee,,,2,3,13,440,8.43,Shelby,-,-,-,-,-,-,-,-,-,-,-,"$100,000,000 ",,34.99,-89.99,35.05,-89.85,2,0,98,Unmodified
20080205.28.99,Summary,2/5/08,17:53:00,3,Mississippi,-,-,0,0,0,25,0.2,Panola,-,-,-,-,-,-,-,-,-,-,-,"$12,000 ",,34.41,-89.74,34.41,-89.74,1,0,99,Unmodified
20080205.47.100,Summary,2/5/08,17:55:00,3,Tennessee,-,-,1,0,0,150,5.09,Weakley,Henry,-,-,-,-,-,-,-,-,-,-,"$160,000 ",,36.42,-88.53,36.47,-88.46,1,0,100,Unmodified
20080205.28.101,Summary,2/5/08,17:57:00,3,Mississippi,-,-,3,0,14,1000,7.15,Lafayette,-,-,-,-,-,-,-,-,-,-,-,"$35,000,000 ",,34.41,-89.53,34.5,-89.46,1,0,101,Unmodified
20080205.28.102,Summary,2/5/08,17:57:00,3,Mississippi,-,-,1,0,0,25,6.89,Lafayette,-,-,-,-,-,-,-,-,-,-,-,"$25,000 ",,34.43,-89.65,34.5,-89.57,1,0,102,Unmodified
20080205.47.103,Summary,2/5/08,18:02:00,3,Tennessee,-,-,0,0,0,50,4.9,Shelby,Fayette,-,-,-,-,-,-,-,-,-,-,"$50,000 ",,35.2,-89.67,35.26,-89.61,1,0,103,Unmodified
20080205.17.104,Summary,2/5/08,18:12:00,3,Illinois,-,-,0,0,0,30,0.22,Marion,-,-,-,-,-,-,-,-,-,-,-,-,,38.51,-89,38.51,-88.99,1,0,104,Unmodified
20080205.17.105,Summary,2/5/08,18:12:00,3,Illinois,-,-,0,0,0,40,0.11,Marion,-,-,-,-,-,-,-,-,-,-,-,-,,38.51,-89,38.51,-88.99,1,0,105,Unmodified
20080205.47.106,Summary,2/5/08,18:21:00,3,Tennessee,-,-,3,3,14,600,31.13,Fayette,Haywood,Madison,-,-,-,-,-,-,-,-,-,"$10,300,000 ",,35.37,-89.37,35.65,-88.94,1,0,106,Unmodified
20080205.21.107,Summary,2/5/08,18:25:00,3,Kentucky,-,-,1,0,0,150,1.43,Calloway,-,-,-,-,-,-,-,-,-,-,-,"$35,000 ",,36.64,-88.16,36.66,-88.14,1,0,107,Unmodified
20080205.28.108,Summary,2/5/08,18:36:00,3,Mississippi,-,-,0,0,0,50,1.35,Tippah,-,-,-,-,-,-,-,-,-,-,-,"$50,000 ",,34.76,-89.05,34.77,-89.03,1,0,108,Unmodified
20080205.21.109,Summary,2/5/08,18:45:00,3,Kentucky,-,-,1,0,0,40,0.08,Trigg,-,-,-,-,-,-,-,-,-,-,-,"$8,000 ",,36.76,-87.96,36.76,-87.96,1,0,109,Unmodified
20080205.28.110,Summary,2/5/08,18:50:00,3,Mississippi,-,-,0,0,0,50,2.48,Tippah,-,-,-,-,-,-,-,-,-,-,-,"$100,000 ",,34.89,-88.87,34.92,-88.85,1,0,110,Unmodified
20080205.21.111,Summary,2/5/08,18:50:00,3,Kentucky,-,-,1,0,0,150,5.56,Trigg,-,-,-,-,-,-,-,-,-,-,-,"$60,000 ",,36.81,-87.88,36.85,-87.8,1,0,111,Unmodified
20080205.28.112,Summary,2/5/08,18:56:00,3,Mississippi,-,-,1,0,4,100,2.56,Alcorn,-,-,-,-,-,-,-,-,-,-,-,"$250,000 ",,34.92,-88.79,34.94,-88.75,1,0,112,Unmodified
20080205.47.113,Summary,2/5/08,18:59:00,3,Tennessee,-,-,4,0,51,125,7.61,Madison,-,-,-,-,-,-,-,-,-,-,-,"$100,000,000 ",,35.68,-88.86,35.73,-88.75,1,0,113,Unmodified
20080205.5.114,Summary,2/5/08,19:05:00,3,Arkansas,-,-,1,0,0,100,5.46,Faulkner,White,-,-,-,-,-,-,-,-,-,-,"$140,000 ",,35.07,-92.14,35.11,-92.06,1,0,114,Unmodified
