Index,Segment,Date,Time,TimeZone,State1,State2,State3,Fujita,Fatalities,Injuries,Width,Length,County1,County2,County3,County4,County5,County6,County7,County8,County9,County10,County11,County12,Damage,CropLoss,TouchdownLat,TouchdownLon,LiftoffLat,LiftoffLon,NumberOfStates,StateTor,TorNum,RecordStatus
20110524.20.24,Summary,5/24/11,13:35:00,3,Kansas,-,-,0,0,0,50,0.48,Haskell,-,-,-,-,-,-,-,-,-,-,-,-,,37.421,-101.068,37.426,-101.062,1,24,328687,Unmodified
20110524.8.6,Summary,5/24/11,14:10:00,3,Colorado,-,-,0,0,0,75,0.25,Prowers,-,-,-,-,-,-,-,-,-,-,-,-,,38.086,-102.526,38.0901,-102.522,1,6,316281,Unmodified
20110524.40.76,Summary,5/24/11,14:20:00,3,Oklahoma,-,-,3,1,2,880,13.2,Dewey,Blaine,Major,-,-,-,-,-,-,-,-,-,-,,36.059,-98.644,36.235,-98.583,1,76,315803,Unmodified
20110524.40.77,Summary,5/24/11,14:31:00,3,Oklahoma,-,-,3,0,0,800,8.6,Caddo,-,-,-,-,-,-,-,-,-,-,-,-,,35.35,-98.441,35.413,-98.311,1,77,315827,Unmodified
20110524.20.25,Summary,5/24/11,14:34:00,3,Kansas,-,-,0,0,0,50,0.44,Gray,-,-,-,-,-,-,-,-,-,-,-,-,,37.923,-100.543,37.928,-100.538,1,25,328689,Unmodified
20110524.20.26,Summary,5/24/11,14:45:00,3,Kansas,-,-,0,0,0,50,0.3,Finney,-,-,-,-,-,-,-,-,-,-,-,-,,38.02,-100.44,38.024,-100.438,1,26,328696,Unmodified
20110524.40.78,Summary,5/24/11,14:47:00,3,Oklahoma,-,-,0,0,0,80,0.7,Major,-,-,-,-,-,-,-,-,-,-,-,-,,36.236,-98.507,36.244,-98.5,1,78,315820,Unmodified
20110524.40.79,Summary,5/24/11,14:50:00,3,Oklahoma,-,-,5,9,181,1760,63.1,Canadian,Kingfisher,Logan,-,-,-,-,-,-,-,-,-,-,,35.444,-98.287,35.921,-97.356,1,79,315837,Unmodified
20110524.51.37,Summary,5/24/11,14:55:00,3,Virginia,-,-,0,0,0,50,4.24,Russell,-,-,-,-,-,-,-,-,-,-,-,"$30,000 ",,36.8,-82.22,36.8206,-82.1479,1,37,311411,Unmodified
20110524.40.80,Summary,5/24/11,15:37:00,3,Oklahoma,-,-,0,0,0,50,1.5,Canadian,-,-,-,-,-,-,-,-,-,-,-,-,,35.622,-97.856,35.618,-97.837,1,80,315853,Unmodified
20110524.20.27,Summary,5/24/11,15:52:00,3,Kansas,-,-,2,2,1,500,11.81,Stafford,Barton,-,-,-,-,-,-,-,-,-,-,-,,38.153,-98.705,38.2947,-98.8151,1,27,328740,Unmodified
20110524.40.81,Summary,5/24/11,16:06:00,3,Oklahoma,-,-,4,1,48,880,33.3,Grady,McClain,Cleveland,-,-,-,-,-,-,-,-,-,-,,35.008,-97.961,35.311,-97.571,1,81,315858,Unmodified
20110524.20.28,Summary,5/24/11,16:09:00,3,Kansas,-,-,1,0,1,75,5.14,Barton,-,-,-,-,-,-,-,-,-,-,-,"$250,000 ",,38.3697,-98.5803,38.4266,-98.6414,1,28,293936,Unmodified
20110524.20.29,Summary,5/24/11,16:20:00,3,Kansas,-,-,0,0,0,75,0.64,Rush,-,-,-,-,-,-,-,-,-,-,-,-,,38.441,-99.156,38.45,-99.153,1,29,328723,Unmodified
20110524.40.82,Summary,5/24/11,16:26:00,3,Oklahoma,-,-,4,0,61,880,23.1,Grady,McClain,-,-,-,-,-,-,-,-,-,-,-,,34.88,-97.732,35.141,-97.491,1,82,315869,Unmodified
20110524.20.30,Summary,5/24/11,16:35:00,3,Kansas,-,-,0,0,0,1200,6.15,Rush,-,-,-,-,-,-,-,-,-,-,-,-,,38.4739,-99.1495,38.5613,-99.1284,1,30,328729,Unmodified
20110524.40.83,Summary,5/24/11,16:45:00,3,Oklahoma,-,-,0,0,0,50,0.7,McClain,-,-,-,-,-,-,-,-,-,-,-,-,,35.242,-97.628,35.243,-97.619,1,83,315861,Unmodified
20110524.48.71,Summary,5/24/11,16:46:00,3,Texas,-,-,0,0,0,30,0.02,Montague,-,-,-,-,-,-,-,-,-,-,-,-,,33.6795,-97.5054,33.6795,-97.5054,1,71,307298,Unmodified
20110524.40.84,Summary,5/24/11,16:50:00,3,Oklahoma,-,-,2,0,18,880,10.4,Payne,-,-,-,-,-,-,-,-,-,-,-,-,,36.034,-97.163,36.108,-97.013,1,84,315880,Unmodified
20110524.20.31,Summary,5/24/11,17:01:00,3,Kansas,-,-,1,0,0,200,4.67,Pawnee,-,-,-,-,-,-,-,-,-,-,-,"$110,000 ",,38.145,-99.387,38.178,-99.312,1,31,328715,Unmodified
20110524.40.85,Summary,5/24/11,17:02:00,3,Oklahoma,-,-,1,0,0,40,0.5,McClain,-,-,-,-,-,-,-,-,-,-,-,-,,35.109,-97.451,35.116,-97.447,1,85,315887,Unmodified
20110524.20.32,Summary,5/24/11,17:27:00,3,Kansas,-,-,0,0,0,150,1.32,Rush,-,-,-,-,-,-,-,-,-,-,-,-,,38.278,-99.255,38.295,-99.244,1,32,328735,Unmodified
20110524.40.86,Summary,5/24/11,17:36:00,3,Oklahoma,-,-,2,0,32,50,2,Pottawatomie,-,-,-,-,-,-,-,-,-,-,-,-,,35.373,-97.131,35.387,-97.108,1,86,315890,Unmodified
20110524.48.72,Summary,5/24/11,17:40:00,3,Texas,-,-,0,0,0,30,0.01,Montague,-,-,-,-,-,-,-,-,-,-,-,-,,33.8632,-97.6434,33.8632,-97.6434,1,72,307300,Unmodified
20110524.40.87,Summary,5/24/11,17:44:00,3,Oklahoma,-,-,1,0,0,440,2.8,Osage,-,-,-,-,-,-,-,-,-,-,-,-,,36.4103,-96.5812,36.4429,-96.551,1,87,310349,Unmodified
20110524.40.88,Summary,5/24/11,17:49:00,3,Oklahoma,-,-,2,0,0,750,17,Osage,-,-,-,-,-,-,-,-,-,-,-,"$20,000 ",,36.465,-96.576,36.6759,-96.4231,1,88,310353,Unmodified
20110524.20.33,Summary,5/24/11,18:11:00,3,Kansas,-,-,0,0,0,50,0.37,Barton,-,-,-,-,-,-,-,-,-,-,-,-,,38.5256,-98.683,38.5278,-98.6768,1,33,293949,Unmodified
20110524.20.34,Summary,5/24/11,18:22:00,3,Kansas,-,-,0,0,0,50,3.38,Barton,-,-,-,-,-,-,-,-,-,-,-,-,,38.5353,-98.5439,38.5753,-98.5079,1,34,293955,Unmodified
20110524.40.89,Summary,5/24/11,18:30:00,3,Oklahoma,-,-,1,0,0,1200,5.5,Johnston,-,-,-,-,-,-,-,-,-,-,-,-,,34.252,-96.76,34.274,-96.67,1,89,315905,Unmodified
20110524.48.73,Summary,5/24/11,18:34:00,3,Texas,-,-,0,0,0,100,1.56,Cooke,-,-,-,-,-,-,-,-,-,-,-,-,,33.5088,-97.2695,33.5161,-97.2439,1,73,309930,Unmodified
20110524.48.74,Summary,5/24/11,18:38:00,3,Texas,-,-,0,0,0,30,0.03,Wise,-,-,-,-,-,-,-,-,-,-,-,"$2,000 ",,33.0814,-97.4511,33.0814,-97.4511,1,74,307317,Unmodified
20110524.48.75,Summary,5/24/11,18:38:00,3,Texas,-,-,0,0,0,40,0.42,Parker,-,-,-,-,-,-,-,-,-,-,-,"$10,000 ",,32.9177,-97.6105,32.9171,-97.6033,1,75,307350,Unmodified
20110524.48.76,Summary,5/24/11,18:45:00,3,Texas,-,-,0,0,0,50,1.69,Tarrant,-,-,-,-,-,-,-,-,-,-,-,"$1,000 ",,32.88,-97.49,32.9007,-97.4745,1,76,307376,Unmodified
20110524.20.35,Summary,5/24/11,18:50:00,3,Kansas,-,-,0,0,0,50,0.45,Ellsworth,-,-,-,-,-,-,-,-,-,-,-,-,,38.8508,-98.4784,38.8548,-98.4717,1,35,293939,Unmodified
20110524.48.77,Summary,5/24/11,18:51:00,3,Texas,-,-,2,0,0,220,1.52,Denton,-,-,-,-,-,-,-,-,-,-,-,"$750,000 ",,33.1359,-97.1911,33.1547,-97.1774,1,77,307405,Unmodified
20110524.48.78,Summary,5/24/11,19:23:00,3,Texas,-,-,1,0,0,500,1.37,Dallas,-,-,-,-,-,-,-,-,-,-,-,"$150,000 ",,32.8291,-96.9811,32.8097,-96.9764,1,78,309286,Unmodified
20110524.40.90,Summary,5/24/11,19:42:00,3,Oklahoma,-,-,2,0,0,400,10.2,Muskogee,Wagoner,-,-,-,-,-,-,-,-,-,-,"$110,000 ",,35.7631,-95.7423,35.8554,-95.6023,1,90,310375,Unmodified
20110524.40.91,Summary,5/24/11,20:13:00,3,Oklahoma,-,-,2,0,0,450,4.4,Wagoner,-,-,-,-,-,-,-,-,-,-,-,"$400,000 ",,35.942,-95.3754,35.9533,-95.2978,1,91,310396,Unmodified
20110524.40.92,Summary,5/24/11,20:48:00,3,Oklahoma,-,-,1,0,0,150,7,Delaware,-,-,-,-,-,-,-,-,-,-,-,-,,36.2264,-94.9542,36.2693,-94.8406,1,92,312948,Unmodified
20110524.48.79,Summary,5/24/11,20:48:00,3,Texas,-,-,0,0,0,30,0.01,Dallas,-,-,-,-,-,-,-,-,-,-,-,-,,32.6709,-96.6841,32.6709,-96.6841,1,79,309283,Unmodified
20110524.40.93,Summary,5/24/11,20:50:00,3,Oklahoma,-,-,1,0,0,300,2.5,Latimer,-,-,-,-,-,-,-,-,-,-,-,-,,35.0021,-95.2106,35.0238,-95.1758,1,93,312958,Unmodified
20110524.40.94,Summary,5/24/11,21:06:00,3,Oklahoma,-,-,1,0,0,150,6,Delaware,-,-,-,-,-,-,-,-,-,-,-,-,,36.2757,-94.7575,36.3294,-94.6728,1,94,312951,Unmodified
20110524.40.95,Summary,5/24/11,21:14:00,3,Oklahoma,-,-,0,0,0,100,1.5,Le Flore,-,-,-,-,-,-,-,-,-,-,-,-,,34.6942,-95.0378,34.7041,-95.0144,1,95,312963,Unmodified
20110524.48.80,Summary,5/24/11,21:43:00,3,Texas,-,-,0,0,0,20,0.01,Kaufman,-,-,-,-,-,-,-,-,-,-,-,-,,32.5755,-96.1109,32.5755,-96.1109,1,80,309285,Unmodified
20110524.40.96,Summary,5/24/11,21:44:00,3,Oklahoma,-,-,2,0,0,1760,12,Le Flore,-,-,-,-,-,-,-,-,-,-,-,"$100,000 ",,34.8256,-94.7248,34.9673,-94.6047,1,96,312972,Unmodified
20110524.40.97,Summary,5/24/11,22:37:00,3,Oklahoma,Arkansas,-,1,0,0,800,5.2,Sequoyah,Crawford,-,-,-,-,-,-,-,-,-,-,"$50,000 ",,35.44,-94.4595,35.4796,-94.3801,2,97,312979,Unmodified
20110524.40.97,State,5/24/11,22:37:00,3,Oklahoma,,,1,0,0,500,1.2,Sequoyah,-,-,-,-,-,-,-,-,-,-,-,-,,35.44,-94.4595,35.4493,-94.441,2,97,312979,Unmodified
20110524.40.97,State,5/24/11,22:40:00,3,Arkansas,,,1,0,0,800,4,Crawford,-,-,-,-,-,-,-,-,-,-,-,"$50,000 ",,35.4493,-94.441,35.4796,-94.3801,2,65,312979,Unmodified
20110524.5.66,Summary,5/24/11,22:53:00,3,Arkansas,-,-,4,4,27,2200,45.71,Franklin,Logan,Franklin,Logan,Franklin,Johnson,-,-,-,-,-,-,"$9,075,000 ",,35.2781,-93.9515,35.691,-93.3195,1,66,312994,Unmodified
20110524.5.67,Summary,5/24/11,23:25:00,3,Arkansas,-,-,3,1,4,1430,29.01,Johnson,Pope,-,-,-,-,-,-,-,-,-,-,"$13,025,000 ",,35.4227,-93.5302,35.682,-93.1245,1,67,308464,Unmodified
