Index,Segment,Date,Time,TimeZone,State1,State2,State3,Fujita,Fatalities,Injuries,Width,Length,County1,County2,County3,County4,County5,County6,County7,County8,County9,County10,County11,County12,Damage,CropLoss,TouchdownLat,TouchdownLon,LiftoffLat,LiftoffLon,NumberOfStates,StateTor,TorNum,RecordStatus
19990503.40.26,Summary,1999-05-03,15:51:00,CST,Oklahoma,-,-,0,0,0,0,0,Comanche,-,-,-,-,-,-,-,-,-,-,-,-,,34.77,-98.38,34.77,-98.38,1,26,1141,Unmodified
19990503.40.27,Summary,1999-05-03,15:55:00,CST,Oklahoma,-,-,0,0,0,0,0,Comanche,-,-,-,-,-,-,-,-,-,-,-,-,,34.78,-98.33,34.78,-98.33,1,27,1142,Unmodified
19990503.40.28,Summary,1999-05-03,16:20:00,CST,Oklahoma,-,-,3,0,3,100,6,Caddo,-,-,-,-,-,-,-,-,-,-,-,$50000,,34.88,-98.32,34.97,-98.3,1,28,1143,Unmodified
19990503.40.29,Summary,1999-05-03,16:26:00,CST,Oklahoma,-,-,0,0,0,0,0,Caddo,-,-,-,-,-,-,-,-,-,-,-,-,,34.92,-98.23,34.92,-98.23,1,29,1144,Unmodified
19990503.40.30,Summary,1999-05-03,16:36:00,CST,Oklahoma,-,-,0,0,0,0,0,Kiowa,-,-,-,-,-,-,-,-,-,-,-,-,,34.8,-99.02,34.8,-99.02,1,30,1153,Unmodified
19990503.40.31,Summary,1999-05-03,16:38:00,CST,Oklahoma,-,-,0,0,0,0,0,Caddo,-,-,-,-,-,-,-,-,-,-,-,-,,35.03,-98.25,35.03,-98.25,1,31,1198,Unmodified
19990503.40.32,Summary,1999-05-03,16:46:00,CST,Oklahoma,-,-,3,0,4,880,9,Caddo,Grady,-,-,-,-,-,-,-,-,-,-,$150000,,34.97,-98.12,35.07,-97.98,1,32,1145,Unmodified
19990503.40.33,Summary,1999-05-03,17:07:00,CST,Oklahoma,-,-,0,0,0,0,1,Grady,-,-,-,-,-,-,-,-,-,-,-,-,,35.05,-98.03,35.05,-98.03,1,33,1146,Unmodified
19990503.40.34,Summary,1999-05-03,17:12:00,CST,Oklahoma,-,-,2,0,4,500,4,Grady,-,-,-,-,-,-,-,-,-,-,-,$500000,,35.08,-97.98,35.1,-97.92,1,34,1200,Unmodified
19990503.40.35,Summary,1999-05-03,17:20:00,CST,Oklahoma,-,-,0,0,0,0,2,Caddo,-,-,-,-,-,-,-,-,-,-,-,-,,34.95,-98.57,34.95,-98.57,1,35,1154,Unmodified
19990503.40.36,Summary,1999-05-03,17:26:00,CST,Oklahoma,-,-,5,36,583,1430,37,Grady,McClain,Cleveland,Oklahoma,-,-,-,-,-,-,-,-,$1000000000,,35.13,-97.85,35.45,-97.43,1,36,1147,Unmodified
19990503.40.37,Summary,1999-05-03,17:38:00,CST,Oklahoma,-,-,1,0,0,150,7,Caddo,-,-,-,-,-,-,-,-,-,-,-,$20000,,34.98,-98.43,35.1,-98.35,1,37,1155,Unmodified
19990503.40.38,Summary,1999-05-03,17:56:00,CST,Oklahoma,-,-,0,0,0,0,0,Caddo,-,-,-,-,-,-,-,-,-,-,-,-,,35.07,-98.33,35.07,-98.33,1,38,1156,Unmodified
19990503.40.39,Summary,1999-05-03,17:58:00,CST,Oklahoma,-,-,0,0,0,100,4,Canadian,Kingfisher,-,-,-,-,-,-,-,-,-,-,$10000,,35.72,-98.02,35.8,-98,1,39,1197,Unmodified
19990503.40.40,Summary,1999-05-03,18:00:00,CST,Oklahoma,-,-,0,0,0,0,0,Canadian,Kingfisher,-,-,-,-,-,-,-,-,-,-,-,,35.72,-97.98,35.73,-98,1,40,1181,Unmodified
