Index,Segment,Date,Time,TimeZone,State1,State2,State3,Fujita,Fatalities,Injuries,Width,Length,County1,County2,County3,County4,County5,County6,County7,County8,County9,County10,County11,County12,Damage,CropLoss,TouchdownLat,TouchdownLon,LiftoffLat,LiftoffLon,NumberOfStates,StateTor,TorNum,RecordStatus
19921121.48.175,Summary,11/21/92,13:30:00,CST,Texas,-,-,1,0,0,100,0,Wharton,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,29.38,-96.18,-,-,1,175,1178,Unmodified
19921121.48.176,Summary,11/21/92,13:40:00,CST,Texas,-,-,1,0,0,100,1,Wharton,-,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,29.3,-96.28,-,-,1,176,1179,Unmodified
19921121.48.177,Summary,11/21/92,14:15:00,CST,Texas,-,-,1,0,0,100,1,Wharton,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,29.3,-96.13,-,-,1,177,1180,Unmodified
19921121.48.178,Summary,11/21/92,14:20:00,CST,Texas,-,-,2,0,11,200,25,Harris,-,-,-,-,-,-,-,-,-,-,-,$5M-$50M,,29.68,-95.8,29.97,-95.6,1,178,1181,Unmodified
19921121.48.179,Summary,11/21/92,14:40:00,CST,Texas,-,-,1,0,0,200,1,Fort Bend,-,-,-,-,-,-,-,-,-,-,-,$500K-$5M,,29.62,-95.75,-,-,1,179,1182,Unmodified
19921121.48.180,Summary,11/21/92,14:45:00,CST,Texas,-,-,1,0,0,200,1,Fort Bend,-,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,29.47,-95.62,-,-,1,180,1183,Unmodified
19921121.48.181,Summary,11/21/92,15:10:00,CST,Texas,-,-,1,0,0,200,2,Brazoria,Harris,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,29.57,-95.28,29.62,-95.28,1,181,1184,Unmodified
19921121.48.182,Summary,11/21/92,15:20:00,CST,Texas,-,-,3,0,1,300,32,Harris,Liberty,-,-,-,-,-,-,-,-,-,-,$5M-$50M,,30.02,-95.08,30.45,-94.78,1,182,1185,Unmodified
19921121.48.183,Summary,11/21/92,15:20:00,CST,Texas,-,-,2,0,6,200,12,Harris,-,-,-,-,-,-,-,-,-,-,-,$5M-$50M,,29.7,-95.38,29.78,-95.25,1,183,1186,Unmodified
19921121.48.184,Summary,11/21/92,15:27:00,CST,Texas,-,-,4,0,16,1800,30,Harris,Liberty,-,-,-,-,-,-,-,-,-,-,$50M-$500M,,29.73,-95.28,30.08,-94.9,1,184,1187,Unmodified
19921121.48.185,Summary,11/21/92,16:12:00,CST,Texas,-,-,2,0,0,200,2,Polk,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,30.58,-94.8,-,-,1,185,1188,Unmodified
19921121.48.186,Summary,11/21/92,16:15:00,CST,Texas,-,-,1,0,0,200,4,Harris,Liberty,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,29.93,-95.02,29.98,-94.97,1,186,1189,Unmodified
19921121.48.187,Summary,11/21/92,16:45:00,CST,Texas,-,-,0,0,0,10,0,Galveston,-,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,29.4,-94.9,-,-,1,187,1190,Unmodified
19921121.48.188,Summary,11/21/92,18:00:00,CST,Texas,-,-,1,0,0,40,0,Jasper,-,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,30.43,-93.97,-,-,1,188,1191,Unmodified
19921121.22.68,Summary,11/21/92,19:12:00,CST,Louisiana,-,-,2,0,0,150,6,Vernon,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,31.2,-93.13,31.27,-93.05,1,68,1192,Unmodified
19921121.22.69,Summary,11/21/92,19:30:00,CST,Louisiana,-,-,3,0,2,73,6,Calcasieu,-,-,-,-,-,-,-,-,-,-,-,$500K-$5M,,30.22,-93.03,30.3,-92.95,1,69,1193,Unmodified
19921121.22.70,Summary,11/21/92,20:50:00,CST,Louisiana,-,-,2,0,0,150,0,Rapides,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,31.38,-92.43,-,-,1,70,1194,Unmodified
19921121.28.40,Summary,11/21/92,21:30:00,CST,Mississippi,-,-,1,0,0,100,4,Wilkinson,-,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,31,-91.12,31.07,-91.07,1,40,1195,Unmodified
